train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
,0,,bible,1,0.4848024265,en,gu,flores,2.0,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,1,0.117220129,en,gu,bible,16.3,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,1,0.5398374026,en,gu,gov,1.2,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,10,0.4718502076,en,gu,flores,3.8,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,10,0.09700942181,en,gu,bible,25.0,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,10,0.5362167255,en,gu,gov,2.4,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,25,0.4723009184,en,ka,flores,2.2,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,bible,25,0.09179114967,en,ka,bible,28.1,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,bible,25,0.5190528803,en,ka,gov,1.0,0.4,1.0,0.64,0.3498,0.4738,0.5
,0,,bible,25,0.4723009184,en,gu,flores,4.2,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,25,0.09179114967,en,gu,bible,28.5,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,25,0.5365977886,en,gu,gov,2.9,0.3,0.9,0.68,0.5687,0.4753,0.6
,0,,bible,25,0.4723009184,en,hi,flores,2.8,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,bible,25,0.09179114967,en,hi,bible,32.3,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,bible,25,0.5230212782,en,hi,gov,1.8,0.4,0.9,0.59,0.3433,0.4684,0.5
,0,,bible,25,0.4621690423,en,si,flores,1.9,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,bible,25,0.1226530963,en,si,bible,38.5,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,bible,25,0.5617144003,en,si,gov,0.9,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,bible,25,0.4723009184,en,ta,flores,2.0,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,bible,25,0.09179114967,en,ta,bible,31.4,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,bible,25,0.5695977832,en,ta,gov,0.8,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,bible,1,0.4848024265,en,ka,flores,0.9,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,bible,1,0.117220129,en,ka,bible,14.5,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,bible,1,0.5246111545,en,ka,gov,0.6,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,bible,1,0.4848024265,en,gu,flores,2.7,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,bible,1,0.117220129,en,gu,bible,16.9,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,bible,1,0.5398374026,en,gu,gov,1.6,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,bible,1,0.4848024265,en,hi,flores,2.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,bible,1,0.117220129,en,hi,bible,19.2,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,bible,1,0.5274890708,en,hi,gov,1.6,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,bible,1,0.4992116683,en,si,flores,1.2,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,bible,1,0.1679884887,en,si,bible,22.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3770364696,bible,1,0.5859953972,en,si,gov,0.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,bible,1,0.4848024265,en,ta,flores,1.4,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,bible,1,0.117220129,en,ta,bible,17.8,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,bible,1,0.5758381128,en,ta,gov,0.5,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,bible,10,0.4718502076,en,ka,flores,2.1,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,bible,10,0.09700942181,en,ka,bible,24.3,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,bible,10,0.5189762099,en,ka,gov,0.7,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,bible,10,0.4718502076,en,gu,flores,4.5,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,bible,10,0.09700942181,en,gu,bible,24.8,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,bible,10,0.5362167255,en,gu,gov,3.2,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,bible,10,0.4718502076,en,hi,flores,3.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,bible,10,0.09700942181,en,hi,bible,28.2,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,bible,10,0.5229877659,en,hi,gov,2.1,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,bible,10,0.4644031797,en,si,flores,2.0,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,bible,10,0.1234147074,en,si,bible,34.2,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3770364696,bible,10,0.5641070657,en,si,gov,1.4,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,bible,10,0.4718502076,en,ta,flores,2.3,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,bible,10,0.09700942181,en,ta,bible,27.5,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,bible,10,0.5699895743,en,ta,gov,1.1,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,bible,25,0.4723009184,en,ka,flores,2.3,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,bible,25,0.09179114967,en,ka,bible,28.6,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,bible,25,0.5190528803,en,ka,gov,1.0,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,bible,25,0.4723009184,en,gu,flores,4.9,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,bible,25,0.09179114967,en,gu,bible,28.5,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,bible,25,0.5365977886,en,gu,gov,3.7,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,bible,25,0.4723009184,en,hi,flores,3.4,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,bible,25,0.09179114967,en,hi,bible,32.1,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,bible,25,0.5230212782,en,hi,gov,2.4,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,bible,25,0.4621690423,en,si,flores,2.0,0.4,0.9,0.78,0.4121,0.4991,0.6
